,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6224,1.4857943852742512,0.015377345995820843,0.02667721112569173,0.000921049211745996,balanced_subsample,entropy,10,40,20,50,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 20, 'n_estimators': 50}",0.5609517601043025,0.574083129584352,0.5696119986957939,0.5682151589242054,0.005451283785707982,6966
6225,2.9657320976257324,0.0740748203033295,0.04912606875101725,0.0020057040806084423,balanced_subsample,entropy,10,40,20,100,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 20, 'n_estimators': 100}",0.564374185136897,0.5708231458842706,0.5736876426475384,0.569627818527574,0.003895016280816191,6528
6226,4.581987778345744,0.007405082869096639,0.07580184936523438,0.0016589642843396425,balanced_subsample,entropy,10,40,20,150,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 20, 'n_estimators': 150}",0.5658409387222947,0.5742461287693561,0.5715683077926312,0.5705514805759304,0.00350604314995006,6112
6227,6.180671453475952,0.03203853947708868,0.09174354871114095,0.0021086597588099616,balanced_subsample,entropy,10,40,20,200,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 20, 'n_estimators': 200}",0.5633963494132985,0.571638141809291,0.5694489729377241,0.5681608258625374,0.0034859104295182734,6979
6228,2.0079540411631265,0.022117178903252172,0.03513566652933756,0.0015933572723644703,balanced_subsample,entropy,10,40,50,50,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 50, 'n_estimators': 50}",0.5726857887874837,0.5792991035044824,0.5709162047603521,0.5743004618310241,0.003607646584796961,4504
6229,4.1180620193481445,0.053060147517781805,0.0627891222635905,0.0012166281252403814,balanced_subsample,entropy,10,40,50,100,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 50, 'n_estimators': 100}",0.5695893089960886,0.5819070904645477,0.5730355396152592,0.5748437924477044,0.005188883017072678,4210
6230,6.29453722635905,0.08077640674034452,0.09109354019165039,0.0025618316812867207,balanced_subsample,entropy,10,40,50,150,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 50, 'n_estimators': 150}",0.5682855280312907,0.5796251018744907,0.5793935441799805,0.5757674544960608,0.005292012052301203,3755
6231,8.455724239349365,0.08638040791274466,0.12395167350769043,0.0028723306186018037,balanced_subsample,entropy,10,40,50,200,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 50, 'n_estimators': 200}",0.568122555410691,0.5799511002444988,0.5772742093250733,0.5751154577560446,0.005064633615768871,4073
6232,2.517099618911743,0.0068080439331274995,0.0416418711344401,0.002434254442468707,balanced_subsample,entropy,10,40,100,50,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 100, 'n_estimators': 50}",0.5713820078226858,0.5802770986145069,0.5870557548092599,0.5795707688128227,0.006418242794804234,1669
6233,5.015003442764282,0.03383065519161764,0.08100779851277669,0.0007967763268645325,balanced_subsample,entropy,10,40,100,100,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 100, 'n_estimators': 100}",0.5704041720990873,0.5819070904645477,0.5852624714704924,0.5791904373811464,0.006362778039391827,1869
6234,7.640440305074056,0.008813387688452518,0.11744546890258789,0.001840637332874254,balanced_subsample,entropy,10,40,100,150,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 40, 'max_leaf_nodes': 100, 'n_estimators': 150}",0.5751303780964798,0.5833740831295844,0.5823280078252364,0.5802770986145069,0.0036646921561424577,1304
