,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_fit_intercept,param_l1_ratio,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1311,0.010409275690714518,0.0016584811125622636,0.0,0.0,0.25,,True,0.25,elasticnet,lbfgs,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,,,956
1312,0.010085423787434896,0.0009202068153601516,0.0,0.0,0.25,,True,0.25,elasticnet,liblinear,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,,,954
1313,0.009108304977416992,0.00046074935820206636,0.0,0.0,0.25,,True,0.25,elasticnet,sag,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'elasticnet', 'solver': 'sag'}",,,,,,953
1314,3.8625570933024087,0.1885704424957337,0.013013442357381185,0.00045985146158125136,0.25,,True,0.25,elasticnet,saga,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'elasticnet', 'solver': 'saga'}",0.5827900912646675,0.5905460472697637,0.5940658624062601,0.589133387666395,0.004710446421244898,352
1315,1.8551731904347737,0.9631655459191778,0.008459011713663736,0.0032214080652703866,0.25,,True,0.25,none,newton-cg,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'none', 'solver': 'newton-cg'}",0.5884941329856584,0.5915240423797881,0.5952070427127486,0.5917413746264601,0.0027448392704346476,69
1316,0.5693315664927164,0.011612952517876356,0.007483084996541341,0.0016584656090433414,0.25,,True,0.25,none,lbfgs,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'none', 'solver': 'lbfgs'}",0.58751629726206,0.5897310513447432,0.5971633518095859,0.59146970931812,0.004125822213318291,155
1317,0.040992021560668945,0.013593263153733246,0.0,0.0,0.25,,True,0.25,none,liblinear,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'none', 'solver': 'liblinear'}",,,,,,985
1318,2.7569212118784585,0.1214464379216585,0.004878838857014974,0.0007968732744070415,0.25,,True,0.25,none,sag,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'none', 'solver': 'sag'}",0.583116036505867,0.5881010594947025,0.592761656341702,0.5879923933713664,0.003938557361197011,408
1319,2.6284764607747397,0.2226472866795887,0.0039041837056477866,7.370009816086851e-07,0.25,,True,0.25,none,saga,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.25, 'penalty': 'none', 'solver': 'saga'}",0.5824641460234681,0.5907090464547677,0.5940658624062601,0.589079054604727,0.004874601517802878,363
1320,0.8999216556549072,0.024163171809421194,0.007809241612752278,0.001594330612099081,0.25,,True,0.5,l2,newton-cg,"{'C': 0.25, 'class_weight': None, 'fit_intercept': True, 'l1_ratio': 0.5, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5883311603650587,0.5918500407497963,0.5958591457450277,0.5920130399348004,0.0030754476253682175,9
